mu 1.0000000000
22.5000000000 -0.4252189003 -2.5350015494
22.6000000000 -0.6856495567 -2.6581876311
22.7000000000 -0.9528739218 -2.6625619288
22.8000000000 -1.2127915249 -2.5078570302
22.9000000000 -1.4489598234 -2.1912562744
23.0000000000 -1.6471219986 -1.7586963272
23.1000000000 -1.7993626859 -1.2858217811
23.2000000000 -1.9053185316 -0.8425322707
23.3000000000 -1.9702554693 -0.4695385670
23.4000000000 -2.0019419888 -0.1773982183
23.5000000000 -2.0081592020 0.0420543655
23.6000000000 -1.9954363054 0.2041017656
23.7000000000 -1.9687273582 0.3241838539
23.8000000000 -1.9315630283 0.4150941744
23.9000000000 -1.8863521714 0.4864981288
24.0000000000 -1.8346761792 0.5453856721
24.1000000000 -1.7775232257 0.5967429662
24.2000000000 -1.7154571755 0.6441619485
24.3000000000 -1.6487320963 0.6903153846
24.4000000000 -1.5773657924 0.7373055219
24.5000000000 -1.5011835725 0.7869160865
24.6000000000 -1.4198403754 0.8407977396
24.7000000000 -1.3328266803 0.9006102199
24.8000000000 -1.2394616858 0.9681368216
24.9000000000 -1.1388760814 1.0453785155
25.0000000000 -1.0299864931 1.1346248154
25.1000000000 -0.9114646871 1.2384828611
25.2000000000 -0.7817076791 1.3598194405
25.3000000000 -0.6388215568 1.5015239402
25.4000000000 -0.4806445714 1.6659234389
25.5000000000 -0.3048571896 1.8535721465
25.6000000000 -0.1092601439 2.0610360686
25.7000000000 0.1076613603 2.2773649558
25.8000000000 0.3457637914 2.4796028976
25.9000000000 0.6018549556 2.6295567278
26.0000000000 0.8682486419 2.6769959094
26.1000000000 1.1322274365 2.5752467758
26.2000000000 1.3776668981 2.3071922508
26.3000000000 1.5890868004 1.9039159185
26.4000000000 1.7562598654 1.4352979309
26.5000000000 1.8765166625 0.9766319083
26.6000000000 1.9536671851 0.5789672381
26.7000000000 1.9950105662 0.2614700443
26.8000000000 2.0085180512 0.0204897093
26.9000000000 2.0011853713 -0.1579950386
27.0000000000 1.9784635014 -0.2898388757
27.1000000000 1.9443040948 -0.3888016187
27.2000000000 1.9014374974 -0.4655154013
27.3000000000 1.8516786921 -0.5277470443
27.4000000000 1.7961825700 -0.5810459885
27.5000000000 1.7356327295 -0.6293878618
27.6000000000 1.6703717404 -0.6756934408
27.7000000000 1.6004863024 -0.7222145208
27.8000000000 1.5258594205 -0.7708130507
27.9000000000 1.4461986868 -0.8231647887
28.0000000000 1.3610468741 -0.8809131203
28.1000000000 1.2697788584 -0.9457910913
28.2000000000 1.1715874707 -1.0197217423
28.3000000000 1.0654603264 -1.1048974423
28.4000000000 0.9501502236 -1.2038255362
28.5000000000 0.8241439906 -1.3193051684
28.6000000000 0.6856399591 -1.4542609183
28.7000000000 0.5325547262 -1.6112924385
28.8000000000 0.3625986814 -1.7916995176
28.9000000000 0.1734896728 -1.9936283775
29.0000000000 -0.0365878875 -2.2089711535
29.1000000000 -0.2681490796 -2.4190596052
29.2000000000 -0.5191346759 -2.5906216113
29.3000000000 -0.7834093743 -2.6762255180
29.4000000000 -1.0497982341 -2.6255471198
29.5000000000 -1.3029168359 -2.4092337299
29.6000000000 -1.5265492749 -2.0425416398
29.7000000000 -1.7083967345 -1.5859818626
29.8000000000 -1.8433617895 -1.1171122877
29.9000000000 -1.9334807311 -0.6966169405
30.0000000000 -1.9852933215 -0.3532959867
30.1000000000 -2.0067970940 -0.0893162855
30.2000000000 -2.0054010941 0.1072248729
30.3000000000 -1.9870607000 0.2522178721
30.4000000000 -1.9561779287 0.3602975032
30.5000000000 -1.9158358539 0.4430955571
30.6000000000 -1.8681087565 0.5092234295
30.7000000000 -1.8143371216 0.5648592047
30.8000000000 -1.7553372511 0.6144142893
30.9000000000 -1.6915486717 0.6610959859
31.0000000000 -1.6231321491 0.7073334055
31.1000000000 -1.5500311775 0.7550869760
31.2000000000 -1.4720070360 0.8060728601
31.3000000000 -1.3886544627 0.8619302642
31.4000000000 -1.2994025760 0.9243520490
31.5000000000 -1.2035040046 0.9951913676
31.6000000000 -1.1000143481 1.0765482716
31.7000000000 -0.9877642386 1.1708285115
31.8000000000 -0.8653279085 1.2807479284
31.9000000000 -0.7309963267 1.4092228613
32.0000000000 -0.5827715065 1.5590304138
32.1000000000 -0.4184143917 1.7320330045
32.2000000000 -0.2356049846 1.9276465140
32.3000000000 -0.0323099194 2.1401637278
32.4000000000 0.1925153659 2.3547666273
32.5000000000 0.4377881607 2.5430946292
32.6000000000 0.6988169003 2.6616193098
32.7000000000 0.9660449318 2.6588594075
32.8000000000 1.2251758401 2.4958047833
32.9000000000 1.4597593038 2.1720122661
33.0000000000 1.6557710490 1.7355805323
33.1000000000 1.8056710651 1.2627106275
33.2000000000 1.9094392461 0.8222200876
33.3000000000 1.9725392893 0.4531884278
33.4000000000 2.0027890901 0.1649372027
33.5000000000 2.0079278871 -0.0512930845
33.6000000000 1.9944088426 -0.2109156067
33.7000000000 1.9671097602 -0.3292788003
33.8000000000 1.9294983364 -0.4190206622
33.9000000000 1.8839359369 -0.4896597668
34.0000000000 1.8319696363 -0.5480709428
34.1000000000 1.7745631323 -0.5991580148
34.2000000000 1.7122626484 -0.6464573750
34.3000000000 1.6453091116 -0.6926062757
34.4000000000 1.5737099729 -0.7396859178
34.5000000000 1.4972817377 -0.7894695301
34.6000000000 1.4156711805 -0.8436051368
34.7000000000 1.3283605565 -0.9037560899
34.8000000000 1.2346602149 -0.9717144111
34.9000000000 1.1336909075 -1.0494939227
35.0000000000 1.0243578883 -1.1393996506
35.1000000000 0.9053199788 -1.2440539618
35.2000000000 0.7749599804 -1.3663323720
35.3000000000 0.6313697002 -1.5091140190
35.4000000000 0.4723759955 -1.6746733426
35.5000000000 0.2956569189 -1.8634291986
35.6000000000 0.0990308881 -2.0716697235
35.7000000000 -0.1189614683 -2.2879588623
35.8000000000 -0.3580611809 -2.4886353055
35.9000000000 -0.6148850337 -2.6347530742
36.0000000000 -0.8814973635 -2.6757739399
36.1000000000 -1.1449519225 -2.5658392429
36.2000000000 -1.3890451177 -2.2899471521
36.3000000000 -1.5984565521 -1.8815942923
36.4000000000 -1.7633072361 -1.4118086655
36.5000000000 -1.8812985897 -0.9552316109
36.6000000000 -1.9564895833 -0.5613241871
36.7000000000 -1.9962709673 -0.2478325009
36.8000000000 -2.0085940321 -0.0103165864
36.9000000000 -2.0003844363 0.1654940824
37.0000000000 -1.9770147190 0.2954112391
37.1000000000 -1.9423687491 0.3930482120
37.2000000000 -1.8991246094 0.4688833734
37.3000000000 -1.8490591450 0.5305576285
37.4000000000 -1.7933000066 0.5835281815
37.5000000000 -1.7325112717 0.6317073852
37.6000000000 -1.6670211554 0.6779748356
37.7000000000 -1.5969052746 0.7245571986
37.8000000000 -1.5220374518 0.7733029202
37.9000000000 -1.4421169960 0.8258828556
38.0000000000 -1.3566785409 0.8839421675
38.1000000000 -1.2650883651 0.9492211079
38.2000000000 -1.1665297510 1.0236543740
38.3000000000 -1.0599794246 1.1094492302
38.4000000000 -0.9441777326 1.2091288036
38.5000000000 -0.8175976168 1.3255040115
38.6000000000 -0.6784229347 1.4614970928
38.7000000000 -0.5245574991 1.6196719394
38.8000000000 -0.3537055156 1.8012247846
38.9000000000 -0.1635945621 2.0040765669
39.0000000000 0.0475497810 2.2197051988
39.1000000000 0.2801485517 2.4288000649
39.2000000000 0.5319758158 2.5973146285
39.3000000000 0.7966601058 2.6772956196
